,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
0,ACLBSL,                                        709.10,                                        0.10,                                        0.01,                                        723.00,                                        725.00,                                        709.00,                                        506.00,                                        709.00
1,ADBL,                                        312.50,                                        2.50,                                        0.81,                                        310.00,                                        314.70,                                        310.00,"                                        6,355.00",                                        310.00
2,ADBLD83,                                        931.00,                                        -19.00,                                        -2.00,                                        931.00,                                        931.00,                                        931.00,                                        75.00,                                        950.00
3,ADLB,                                        388.00,                                        7.60,                                        2.00,                                        388.00,                                        388.00,                                        388.00,                                        10.00,                                        380.40
4,AHPC,                                        267.00,                                        -6.00,                                        -2.20,                                        271.00,                                        275.00,                                        267.00,"                                        11,749.00",                                        273.00
5,AIL,                                        380.00,                                        -7.30,                                        -1.88,                                        380.00,                                        397.00,                                        380.00,"                                        3,023.00",                                        387.30
6,AKJCL,                                        171.00,                                        -1.00,                                        -0.58,                                        172.00,                                        172.00,                                        170.00,"                                        4,948.00",                                        172.00
7,AKPL,                                        343.00,                                        -8.00,                                        -2.28,                                        345.00,                                        350.00,                                        343.00,"                                        19,850.00",                                        351.00
8,ALBSL,                                        909.00,                                        -9.00,                                        -0.98,                                        925.00,                                        943.50,                                        909.00,                                        917.00,                                        918.00
9,ALICL,                                        510.20,                                        0.20,                                        0.04,                                        500.20,                                        511.50,                                        500.10,"                                        4,694.00",                                        510.00
10,API,                                        211.00,                                        1.00,                                        0.48,                                        210.00,                                        211.00,                                        207.00,"                                        35,836.00",                                        210.00
11,AVYAN,                                        693.10,                                        0.10,                                        0.01,                                        685.00,                                        700.00,                                        685.00,"                                        1,235.00",                                        693.00
12,BARUN,                                        200.00,                                        -3.90,                                        -1.91,                                        200.00,                                        205.00,                                        200.00,"                                        8,153.00",                                        203.90
13,BBC,"                                        3,269.00",                                        19.00,                                        0.58,"                                        3,249.00","                                        3,269.00","                                        3,249.00",                                        80.00,"                                        3,250.00"
14,BFC,                                        311.00,                                        1.00,                                        0.32,                                        305.00,                                        311.00,                                        305.00,"                                        1,017.00",                                        310.00
15,BHDC,                                        348.00,                                        3.10,                                        0.90,                                        338.30,                                        348.00,                                        338.30,"                                        1,640.00",                                        344.90
16,BHL,                                        246.80,                                        -1.20,                                        -0.48,                                        243.20,                                        246.80,                                        243.20,"                                        1,180.00",                                        248.00
17,BNHC,                                        329.50,                                        -0.50,                                        -0.15,                                        330.00,                                        332.00,                                        324.20,                                        130.00,                                        330.00
18,BNT,"                                        12,870.00",                                        142.00,                                        1.12,"                                        12,600.00","                                        12,982.00","                                        12,348.00",                                        360.00,"                                        12,728.00"
19,BOKL,                                        206.00,                                        -2.00,                                        -0.96,                                        208.00,                                        213.00,                                        205.10,"                                        14,328.00",                                        208.00
20,BPCL,                                        305.80,                                        0.00,                                        0.00,                                        302.10,                                        308.00,                                        302.10,"                                        1,221.00",                                        305.80
21,CBBL,"                                        1,109.90",                                        12.80,                                        1.17,"                                        1,110.00","                                        1,110.00","                                        1,096.00","                                        4,960.00","                                        1,097.10"
22,CBL,                                        213.00,                                        -2.00,                                        -0.93,                                        212.00,                                        215.00,                                        211.30,"                                        18,804.00",                                        215.00
23,CBLD88,                                        836.00,                                        -4.00,                                        -0.48,                                        836.00,                                        836.00,                                        836.00,                                        25.00,                                        840.00
24,CCBL,                                        192.00,                                        3.90,                                        2.07,                                        187.00,                                        192.00,                                        185.70,"                                        69,034.00",                                        188.10
25,CFCL,                                        300.00,                                        -6.00,                                        -1.96,                                        301.50,                                        306.00,                                        297.00,"                                        7,106.00",                                        306.00
26,CGH,"                                        1,001.00",                                        -9.00,                                        -0.89,                                        995.00,"                                        1,010.00",                                        995.00,"                                        1,816.00","                                        1,010.00"
27,CHCL,                                        385.00,                                        1.00,                                        0.26,                                        390.00,                                        390.00,                                        380.10,"                                        7,138.00",                                        384.00
28,CHDC,                                        660.00,                                        0.00,                                        0.00,                                        647.00,                                        661.00,                                        647.00,"                                        2,122.00",                                        660.00
29,CHL,                                        207.90,                                        2.80,                                        1.37,                                        204.90,                                        208.90,                                        204.90,                                        396.00,                                        205.10
30,CIT,"                                        1,859.00",                                        4.00,                                        0.22,"                                        1,872.00","                                        1,877.00","                                        1,850.00","                                        4,376.00","                                        1,855.00"
31,CLBSL,                                        761.00,                                        -1.00,                                        -0.13,                                        768.50,                                        768.50,                                        758.10,                                        246.00,                                        762.00
32,CMF1,                                        7.65,                                        0.13,                                        1.73,                                        7.57,                                        7.65,                                        7.50,"                                        2,225.00",                                        7.52
33,CMF2,                                        8.00,                                        -0.18,                                        -2.20,                                        8.02,                                        8.02,                                        8.00,"                                        1,700.00",                                        8.18
34,CORBL,                                        270.00,                                        -1.10,                                        -0.41,                                        272.00,                                        275.40,                                        267.10,                                        582.00,                                        271.10
35,CYCL,"                                        2,260.20",                                        205.40,                                        10.00,"                                        2,014.10","                                        2,260.20","                                        2,014.10","                                        2,019.00","                                        2,054.80"
36,CZBIL,                                        180.80,                                        -0.20,                                        -0.11,                                        180.10,                                        181.00,                                        178.40,"                                        21,918.00",                                        181.00
